,city,lat,lon,temp,humidity,wind,clouds
477,Calama,-22.46,-68.93,48.2,45,11.41,0
478,Leshukonskoye,64.9,45.76,28.51,94,5.53,92
479,Moerai,-22.43,-151.33,75.04,100,20.07,92
480,Ixtapa,20.71,-105.21,68.0,94,4.7,40
481,Galle,29.74,-97.91,50.5,39,13.87,1
482,Rabat,34.02,-6.83,49.19,81,3.36,0
483,Hami,42.84,93.51,17.44,74,4.52,48
484,Mecca,21.43,39.83,74.68,67,3.96,68
485,Tromso,69.65,18.96,31.91,64,18.34,75
486,Davila,18.47,120.58,89.6,46,13.87,20
487,Mandal,48.82,106.5,14.65,52,4.97,0
488,Savelugu,9.63,-0.83,67.57,48,5.19,0
489,Elizabeth City,36.3,-76.22,59.54,93,12.75,90
490,Iberia,-11.41,-69.49,76.03,90,3.74,64
491,Lensk,60.71,114.91,13.93,65,8.88,64
492,Quatre Cocos,-20.21,57.76,84.2,62,12.75,40
493,Tilichiki,60.47,166.1,-28.73,45,3.4,12
494,Vanavara,60.35,102.28,9.25,67,11.12,64
495,Alexandria,31.31,-92.44,48.97,100,9.17,90
496,Tabas,33.6,56.92,50.0,27,2.24,0
497,Shimoda,34.7,138.93,49.03,39,10.29,40
498,Tezu,27.93,96.16,66.04,45,1.61,0
499,Bull Savanna,17.89,-77.59,74.05,83,7.65,36
500,Goleta,34.44,-119.83,50.67,92,5.97,1
501,Lichinga,-13.3,35.25,64.4,100,17.22,75
502,Coihaique,-45.58,-72.07,48.85,53,9.17,75
503,Flinders,-34.58,150.85,68.56,99,4.18,88
504,Itupiranga,-5.13,-49.33,73.4,94,5.82,90
505,Acapulco,16.86,-99.88,75.2,88,2.24,40
506,Souillac,45.6,-0.6,33.57,88,10.29,90
507,Ketchikan,55.34,-131.65,31.75,71,9.17,1
508,Maraba,-5.35,-49.1,73.4,94,5.82,90
509,Puerto del Rosario,28.5,-13.86,62.6,82,12.75,40
510,Ocos,14.51,-92.19,75.2,94,4.7,5
511,Lazaro Cardenas,28.39,-105.62,24.55,57,2.62,0
512,Marratxi,39.64,2.75,53.6,66,10.29,20
513,Lahad Datu,5.02,118.33,85.03,79,3.96,20
514,Sobolevo,54.43,31.9,23.56,91,7.99,88
515,Kambove,-10.88,26.6,69.15,91,3.96,20
516,Goure,13.98,10.27,56.68,53,4.41,0
517,Brae,60.4,-1.35,42.8,70,31.09,76
518,Sovetskiy,56.76,48.47,12.76,85,10.0,64
519,Luau,-10.7,22.23,65.41,100,3.18,92
520,Vilyuysk,63.75,121.63,2.59,84,5.3,64
521,Bondoukou,8.04,-2.8,64.6,74,3.74,0
522,Telimele,10.9,-13.03,64.96,54,4.97,0
523,Illapel,-31.63,-71.17,49.12,100,3.18,0
524,Sena Madureira,-9.07,-68.66,75.22,96,3.4,20
525,Voznesenye,61.02,35.48,8.85,100,7.09,12
526,Lakes Entrance,-37.88,147.99,76.12,70,9.44,8
527,Balkanabat,39.51,54.36,39.85,86,3.29,20
528,Mutis,6.23,-77.4,76.35,100,6.98,92
529,Goderich,43.74,-81.71,34.86,100,7.2,88
530,Khandyga,62.65,135.58,-21.89,63,2.73,64
531,Formosa,-26.19,-58.17,86.0,66,9.17,0
532,Panama City,30.16,-85.65,59.27,93,11.41,90
533,Guaruja,-23.99,-46.26,72.45,60,3.36,0
534,The Pas,53.82,-101.24,21.2,85,11.41,1
535,Chara,39.42,22.43,43.57,93,2.51,75
536,Staryy Nadym,65.61,72.68,-1.33,69,3.4,20
537,Owosso,43.0,-84.18,31.98,96,3.36,90
538,Waipawa,-39.94,176.59,61.99,94,4.74,100
539,Izumo,35.37,132.75,49.15,57,9.17,20
540,Paita,-5.09,-81.11,71.85,75,4.97,76
541,Drumheller,51.47,-112.7,33.91,86,14.81,32
542,Mishan,45.55,131.88,18.79,55,8.66,8
543,Mae Sai,20.44,99.89,78.8,65,3.36,75
544,Bandarban,22.2,92.22,78.8,54,2.95,75
545,Ossora,59.24,163.07,25.27,90,16.49,80
546,Grand Gaube,-20.01,57.66,84.2,62,12.75,40
547,Elat,2.91,11.16,65.68,95,2.17,0
548,Timbuktu,16.77,-3.01,53.35,43,4.07,20
549,Turayf,31.68,38.65,42.8,100,6.93,0
550,Portland,45.52,-122.67,44.76,76,12.75,75
551,Laguna,27.52,-110.01,48.4,76,0.94,24
552,Lata,30.78,78.62,44.98,60,0.6,0
